"Orgão","Orgão Supervisor","Data","Nº do Empenho","Código Favorecido","Nome Favorecido","Valor Original (R$)","Valor Anulado (R$)","Valor Reforçado (R$)"
"SEFAZ","","31/01/2023","188","PF16101188","PERITOS JUSTICA GRATUITA","13.023,55","0,00","0,00"
"SEFAZ","","31/01/2023","189","PF16101199","JUSTICA RESTAURATIVA","15.800,00","0,00","0,00"
"SEFAZ","","31/01/2023","40","00360305000104","CAIXA ECONOMICA FEDERAL","0,00","0,00","190,00"
"SEFAZ","","31/01/2023","51","13017462000163","ENERGISA SERGIPE  DISTRIBUIDORA DE ENERGIA S.A","0,00","0,00","2.300,00"
"SEFAZ","","27/01/2023","163","00000000000191","BANCO DO BRASIL S/A","1.000.000,00","0,00","0,00"
"SEFAZ","","27/01/2023","27","04864703000119","AEREOTUR VIAGENS E OPERA  ES TUR STICAS LTDA   EPP","0,00","0,00","6.000,00"
"SEFAZ","","27/01/2023","28","60746948000112","BANCO BRADESCO S.A","0,00","0,00","13.600,00"
"SEFAZ","","27/01/2023","42","13018171000190","COMPANHIA DE SANEAMENTO DE SERGIPE DESO","0,00","0,00","1.400,00"
"SEFAZ","","27/01/2023","164","00394460009289","DELEGACIA DA REC.FEDERAL DO BRASIL EM ARACAJU","36.000.000,00","0,00","0,00"
"SEFAZ","","27/01/2023","159","10305404000147","UNIGAS DISTRIBUIDORA DE AGUA E GAS LTDA","11.700,00","0,00","0,00"
"SEFAZ","","27/01/2023","162","00000000000191","BANCO DO BRASIL S/A","45.000.000,00","0,00","0,00"
"SEFAZ","","25/01/2023","157","97500037000110","FUNDACAO DE APOIO A PESQUISA E EXTENSAO DE SERGIPE","166.710,00","0,00","0,00"
"SEFAZ","","25/01/2023","158","97500037000110","FUNDACAO DE APOIO A PESQUISA E EXTENSAO DE SERGIPE","235.704,00","0,00","0,00"
"SEFAZ","","02/01/2023","42","13018171000190","COMPANHIA DE SANEAMENTO DE SERGIPE DESO","0,00","5,71","0,00"
